zaxis,yaxis,H,Na,K,Mg,Ca,Ba,Ti,V,Mn,Fe,Ni,Cu,Ag,Zn,B,Al,C,Si,Pb,REE,U,F,Cl,O,S,Se,P,As,Sb,Bi
Bi,Ag,0,0,0,0,0,0,0,0,0,1,0,12,33,0,0,0,0,0,24,0,0,0,0,0,30,3,0,0,5,33
Bi,Zn,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Bi,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bi,Al,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Bi,C,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0,3
Bi,Si,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3
Bi,Pb,5,0,0,0,0,0,0,1,0,8,1,40,24,0,0,0,0,0,86,0,2,0,3,6,72,13,2,5,11,86
Bi,REE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bi,U,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,6,0,0,2,3,0,6
Bi,F,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,3,0,0,0,0,0,4
Bi,Cl,2,1,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,11,6,5,1,1,2,0,11
Bi,O,41,4,1,1,4,0,0,7,0,12,2,10,0,0,0,1,3,3,6,0,6,3,6,78,9,2,11,17,1,78
Bi,S,4,2,1,0,0,0,0,0,1,11,6,47,30,1,0,0,0,0,72,0,0,0,5,9,116,9,0,5,14,116
Bi,Se,1,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,13,0,0,0,1,2,9,26,0,0,0,26
Bi,P,10,0,0,0,1,0,0,0,0,3,0,2,0,0,0,1,0,0,2,0,2,0,1,11,0,0,11,0,0,11
Bi,As,13,0,0,1,1,0,0,0,0,5,3,4,0,0,0,0,0,0,5,0,3,0,2,17,5,0,0,23,1,23
Bi,Sb,0,0,0,0,0,0,0,0,0,6,1,7,5,0,0,0,0,0,11,0,0,0,0,1,14,0,0,1,15,15
Bi,Bi,42,4,1,1,4,0,0,7,1,22,8,61,33,1,0,1,3,3,86,0,6,4,11,78,116,26,11,23,15,223
